;Ashton Drivers lap statistics;;;;;;;;;;;;LECLERC Drivers lap statistics;;;;;;;;;;;;BOTTAS Drivers lap statistics;;;;;;;;;;;;HAMILTON Drivers lap statistics;;;;;;;;;;;;VERSTAPPEN Drivers lap statistics;;;;;;;;;;;;VETTEL Drivers lap statistics;;;;;;;;;;;;ALBON Drivers lap statistics;;;;;;;;;;;;OCON Drivers lap statistics;;;;;;;;;;;;STROLL Drivers lap statistics;;;;;;;;;;;;RÄIKKÖNEN Drivers lap statistics;;;;;;;;;;;;PEREZ Drivers lap statistics;;;;;;;;;;;;GASLY Drivers lap statistics;;;;;;;;;;;;GIOVINAZZI Drivers lap statistics;;;;;;;;;;;;KVYAT Drivers lap statistics;;;;;;;;;;;;GROSJEAN Drivers lap statistics;;;;;;;;;;;;MAGNUSSEN Drivers lap statistics;;;;;;;;;;;;RICCIARDO Drivers lap statistics;;;;;;;;;;;;RUSSELL Drivers lap statistics;;;;;;;;;;;;SAINZ Drivers lap statistics;;;;;;;;;;;;LATIFI Drivers lap statistics;;;;;;;;;;;;
;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;
10;27.4130001068115;28.7569999694824;30.7364940643311;86.906494140625;M;42;34.5;2248;74.37;14.27;308;337;28.1429996490479;28.9449996948242;28.6563243865967;85.7443237304688;S;51;34.6;2835;57.97;7.25;3;316;27.7770004272461;28.7439994812012;28.5043296813965;85.0253295898438;S;50;33.8;2511;71.26;2.20;15;326;27.3939990997314;28.7520008087158;28.4197959899902;84.5657958984375;S;48;33.9;2925;88.57;8.57;2;320;28.0599994659424;29.0340003967285;29.4447574615479;86.5387573242188;S;48;34;1877;50.72;21.74;14;279;28.4869995117188;28.7719993591309;28.6534156799316;85.9124145507813;S;50;32.2;2583;81.16;1.45;2;315;28.0599994659424;29.0149993896484;29.3139171600342;86.388916015625;S;48;34.1;2517;50.72;18.84;12;285;27.5739994049072;28.8649997711182;30.5215721130371;86.9605712890625;S;50;32.5;3252;58.33;8.13;21;332;28.2689990997314;29.1410007476807;31.6709938049316;89.0809936523438;S;46;33.8;2184;56.44;8.95;18;330;27.5090007781982;29.2770004272461;31.6721897125244;88.4581909179688;S;47;35.2;3020;57.27;5.74;21;338;27.8899993896484;29.1809997558594;31.2217864990234;88.2927856445313;S;45;33;2283;56.59;8.23;17;333;27.9150009155273;29.2399997711182;31.8151531219482;88.9701538085938;S;50;33.2;2759;54.43;9.25;17;340;27.8659992218018;29.2040004730225;31.9611282348633;89.0311279296875;S;47;33;2638;52.36;10.14;18;340;28.0450000762939;29.3120002746582;32.5215377807617;89.8785400390625;S;47;33.2;2512;46.97;6.15;20;321;28.1560001373291;29.4080009460449;31.7335453033447;89.2975463867188;S;51;33.6;3016;64.67;2.36;18;328;28.4559993743896;29.6949996948242;32.95849609375;91.1094970703125;S;49;33.5;1944;45.27;6.85;18;315;27.8250007629395;29.0590000152588;54.9696350097656;111.853637695313;S;54;33.3;1986;47.49;4.46;54;327;27.9080009460449;29.5599994659424;34.7144317626953;92.1824340820313;S;49;33.6;2531;51.82;9.18;20;337;27.8490009307861;29.3020000457764;51.1746826171875;108.32568359375;S;49;34.8;2633;49.75;3.25;47;334;28.7569999694824;29.6350002288818;34.2812194824219;92.6732177734375;S;49;34.4;2013;51.28;9.42;20;315;
11;30.3920001983643;30.6229991912842;28.6161651611328;89.6311645507813;M;46;32.8;2636;70.12;19.71;252;330;30.8910007476807;31.4930000305176;33.7580871582031;96.14208984375;S;55;32.5;3709;36.29;5.95;22;341;30.9080009460449;31.8700008392334;32.9111480712891;95.6891479492188;S;54;31.5;2914;43.17;6.23;17;326;30.8449993133545;31.9249992370605;28.4779262542725;91.2479248046875;S;52;31.6;2413;42.23;6.65;18;329;30.8369998931885;30.6450004577637;33.2316818237305;94.7136840820313;S;52;32.2;3392;40.22;5.43;21;332;30.8950004577637;31.7789993286133;29.7990837097168;92.4730834960938;S;54;30.3;2786;45.56;4.65;20;327;30.8680000305176;31.1000003814697;28.7766284942627;90.74462890625;S;52;32;2845;48.87;3.59;19;324;30.7080001831055;30.238000869751;33.1893768310547;94.1353759765625;S;55;30.2;2835;45.73;3.88;20;326;30.6840000152588;29.0830001831055;33.6368103027344;93.40380859375;S;51;31.9;3273;48.80;7.62;18;335;30.6860008239746;29.2310009002686;29.1443386077881;89.0613403320313;S;52;33.3;3243;57.26;2.61;17;326;30.7830009460449;29.3819999694824;29.1805191040039;89.3455200195313;S;50;31;2388;56.98;2.81;20;318;30.6000003814697;29.2360000610352;30.3737163543701;90.209716796875;S;54;31.3;3523;55.99;3.72;20;337;30.5270004272461;28.9650001525879;35.0321083068848;94.5241088867188;S;52;31.2;4000;48.61;6.65;21;339;30.0709991455078;29.0590000152588;33.5919876098633;92.7219848632813;S;52;31.3;3947;52.67;2.93;22;317;30.6639995574951;29.5890007019043;33.802604675293;94.0556030273438;S;56;31.8;2976;54.38;2.59;17;313;29.7169990539551;29.257999420166;33.8667373657227;92.8417358398438;S;54;31.6;3808;53.43;3.83;20;313;57.7360000610352;28.8719997406006;28.7563190460205;115.364318847656;H;3;31.2;4001;49.79;22.54;29;327;28.3799991607666;29.1949996948242;33.7782745361328;91.353271484375;S;54;31.2;3903;56.03;3.48;19;322;58.1189994812012;29.0790004730225;28.8619365692139;116.059936523438;H;2;32.5;4000;47.24;24.81;25;322;28.7180004119873;29.257999420166;29.5121593475342;87.4881591796875;S;54;32.1;3780;58.02;7.33;22;328;
12;27.7469997406006;29.2530002593994;28.5993041992188;85.5993041992188;M;51;30.8;2723;82.82;6.87;292;334;46.7029991149902;28.4680004119873;28.4669399261475;103.637939453125;M;3;30.4;4000;60.79;9.12;23;321;46.5859985351563;28.1800003051758;28.702018737793;103.468017578125;M;3;29.5;3999;60.30;9.95;24;329;27.8040008544922;28.6509990692139;33.0556182861328;89.5106201171875;S;57;29.7;3176;60.96;2.46;18;330;46.689998626709;28.6200008392334;28.5178203582764;103.827819824219;M;3;30.1;3981;59.45;9.20;23;316;27.875;29;33.1674194335938;90.0424194335938;S;58;28.6;2110;62.89;2.80;19;332;28.1459999084473;29.1590003967285;33.3393478393555;90.6443481445313;S;57;30.2;1933;63.38;2.67;18;317;47.3979988098145;28.7749996185303;29.575475692749;105.748474121094;M;3;28.6;4000;57.00;11.72;23;327;47.5890007019043;28.6700000762939;28.600679397583;104.859680175781;M;3;29.9;4001;60.36;9.51;23;317;28.1140003204346;29.257999420166;33.3555374145508;90.7275390625;S;57;31.1;2918;59.49;3.01;18;326;28.2980003356934;29.1439990997314;33.5193023681641;90.9613037109375;S;54;29.2;3935;57.21;2.65;18;325;28.4850006103516;29.382999420166;33.5217704772949;91.3897705078125;S;59;29.5;2954;60.05;4.13;19;320;50.0890007019043;28.8360004425049;28.8229846954346;107.747985839844;M;3;29.2;4000;56.77;13.15;23;331;47.1100006103516;29;28.7203826904297;104.830383300781;M;3;28.8;4000;56.76;8.81;22;326;47.7039985656738;29.1030006408691;29.0278396606445;105.834838867188;H;3;29.2;4001;58.13;9.52;23;318;53.5960006713867;29.136999130249;29.2569904327393;111.989990234375;M;3;29.6;4000;53.70;14.62;21;314;27.6509990692139;28.6359996795654;28.5730476379395;84.8600463867188;H;6;29.4;3490;68.19;2.97;18;327;46.984001159668;29.2229995727539;29.2854309082031;105.492431640625;M;3;29;3838;58.11;9.35;23;311;28.0650005340576;29.1709995269775;28.8005599975586;86.0365600585938;H;5;30.1;2573;65.49;3.41;18;325;28.2859992980957;29.5429992675781;33.9276542663574;91.7566528320313;S;59;29.8;3003;58.86;3.09;18;326;
13;27.8560009002686;28.8110008239746;28.3995265960693;85.0665283203125;M;56;28.7;3144;83.33;6.79;250;324;27.5249996185303;28.6000003814697;28.435302734375;84.560302734375;M;7;28.6;1922;70.27;3.23;17;331;27.6089992523193;28.5970001220703;28.2443180084229;84.4503173828125;M;7;27.2;1897;70.65;3.11;18;332;47.0040016174316;28.3549995422363;28.402961730957;103.761962890625;M;3;27.7;3909;61.64;9.72;23;318;28.0459995269775;28.7660007476807;28.4193229675293;85.2313232421875;M;6;28.3;2492;69.42;2.71;17;322;46.5;28.4349994659424;28.4920024871826;103.427001953125;M;3;26.6;4000;60.91;8.93;24;321;46.8450012207031;28.375;28.4695739746094;103.689575195313;M;3;28.2;4000;59.11;9.82;24;326;27.9580001831055;29.0459995269775;28.853178024292;85.857177734375;M;6;27.3;1991;70.99;2.57;17;327;27.7509994506836;29.1159992218018;28.8512630462646;85.71826171875;M;6;28;2445;66.18;7.11;21;333;47.8800010681152;28.8819999694824;28.7630233764648;105.525024414063;M;3;29;3802;58.07;9.76;23;318;47.5750007629395;28.9599990844727;28.8869972229004;105.421997070313;M;3;27.1;4000;56.63;9.67;23;322;47.3860015869141;28.8959999084473;28.8935356140137;105.175537109375;M;3;27.4;3657;58.80;9.20;24;316;27.7110004425049;28.9400005340576;28.860107421875;85.5111083984375;M;7;27.4;2927;64.00;7.00;20;335;27.8950004577637;29.0550003051758;28.8664054870605;85.81640625;M;7;26.9;3429;65.69;3.06;19;329;28.0259990692139;29.2110004425049;29.4592895507813;86.6962890625;H;6;27.3;3494;67.64;3.15;20;324;28.2900009155273;29.1830005645752;29.135274887085;86.6082763671875;M;7;27.7;2348;65.41;4.13;18;325;27.6420001983643;28.9260005950928;28.7675704956055;85.3355712890625;H;9;27.6;2600;65.39;8.25;19;336;28.2409992218018;29.2329998016357;29.1070556640625;86.5810546875;M;7;26.7;1975;67.11;3.03;18;315;27.8390007019043;29.0540008544922;28.7669105529785;85.659912109375;H;8;27.7;3670;64.54;3.19;17;331;47.318000793457;29.3290004730225;29.3803424835205;106.02734375;H;2;27.7;4000;59.37;9.02;23;316;
14;27.6049995422363;28.9120006561279;28.5902996063232;85.1072998046875;M;61;26.5;3234;83.35;6.54;297;324;27.7140007019043;28.4799995422363;28.4886169433594;84.6826171875;M;10;26.7;2379;70.09;2.97;16;321;27.5970001220703;28.5440006256104;28.3636379241943;84.504638671875;M;10;25;2457;68.77;2.85;19;322;27.8409996032715;28.5470008850098;28.5258178710938;84.913818359375;M;6;25.8;1945;68.27;2.59;18;319;27.8689994812012;28.5830001831055;28.4432640075684;84.895263671875;M;10;26.4;3086;69.63;2.84;18;324;27.8419990539551;28.5830001831055;28.4497566223145;84.874755859375;M;7;24.8;1955;70.70;2.97;19;321;27.6809997558594;28.5779991149902;28.4003028869629;84.6593017578125;M;7;26.3;2220;69.64;4.34;17;331;28.1560001373291;29.0410003662109;28.981954574585;86.178955078125;M;10;26;2012;70.35;3.16;17;317;27.8390007019043;28.8880004882813;28.7478523254395;85.474853515625;M;10;26.2;3019;69.57;3.19;16;327;27.878999710083;28.9449996948242;28.9151363372803;85.7391357421875;M;6;26.8;2225;64.06;5.75;19;333;28.1280002593994;29.1049995422363;28.8277912139893;86.060791015625;M;6;25.1;2103;66.02;3.17;19;318;28.0639991760254;29.0830001831055;28.7574195861816;85.9044189453125;M;7;25.6;2670;67.77;3.30;17;323;27.4340000152588;29.0319995880127;28.777286529541;85.2432861328125;M;10;25.5;2654;65.31;3.44;21;336;28.386999130249;29.3150005340576;29.1366233825684;86.838623046875;M;10;25.5;1975;66.59;4.70;18;321;28.0499992370605;29.1219997406006;29.0762920379639;86.248291015625;H;9;25.4;2673;67.19;4.01;18;332;27.6770000457764;29.2999992370605;29.2286891937256;86.2056884765625;M;10;25.8;2774;65.98;3.04;19;333;27.5179996490479;28.9220008850098;28.7399311065674;85.179931640625;H;12;25.6;2350;68.27;2.83;20;340;28.173999786377;29.1900005340576;29.1397838592529;86.5037841796875;M;11;24.3;2317;66.46;3.15;18;316;28.4069995880127;29.2709999084473;29.10325050354;86.78125;H;10;25.7;1962;63.89;5.19;21;324;28.4750003814697;29.4209995269775;29.4283409118652;87.3243408203125;H;5;25.8;2380;65.67;5.64;18;322;
15;27.7609996795654;28.8540000915527;28.4783840179443;85.0933837890625;M;65;24.5;2990;83.48;6.66;257;324;27.7880001068115;28.2520008087158;28.2159805297852;84.2559814453125;M;14;24.5;2875;68.03;2.74;17;331;27.9220008850098;28.4599990844727;28.4069404602051;84.7889404296875;M;14;23.2;2401;69.84;3.34;18;319;27.9029998779297;28.4599990844727;28.3268203735352;84.6898193359375;M;10;23.9;2991;67.33;2.48;18;324;28.5499992370605;28.7019996643066;28.4833526611328;85.7353515625;M;13;24.3;2448;67.97;2.44;24;318;27.818000793457;28.6410007476807;28.6844310760498;85.1434326171875;M;10;23.4;2217;71.34;2.71;17;321;28.2549991607666;28.9080009460449;28.4219608306885;85.5849609375;M;10;24.5;2644;67.44;6.00;24;338;28.1599998474121;28.9209995269775;28.6968326568604;85.77783203125;M;13;24.4;1980;69.68;2.81;17;318;27.9069995880127;28.9979991912842;28.7460021972656;85.6510009765625;M;13;24.3;2982;68.58;3.18;18;323;27.3899993896484;28.8589992523193;28.6802005767822;84.92919921875;M;10;24.4;2547;64.07;3.09;20;336;27.9759998321533;28.9179992675781;28.7693309783936;85.663330078125;M;9;23;2548;65.28;3.06;16;319;27.8290004730225;29.0139999389648;28.8734302520752;85.7164306640625;M;10;23.7;3211;66.38;3.06;18;326;27.7320003509521;28.7970008850098;28.7820339202881;85.31103515625;M;14;23.7;2897;66.01;3.44;19;334;28.3110008239746;29.5109996795654;29.2774868011475;87.0994873046875;M;13;24.2;2011;66.95;3.25;18;315;28.2339992523193;29.2870006561279;29.2269248962402;86.7479248046875;H;12;23.5;1949;67.39;4.59;17;330;28.1380004882813;29.5559997558594;29.1982116699219;86.8922119140625;M;14;23.9;3010;65.78;3.49;21;324;27.8799991607666;28.8640003204346;28.6660346984863;85.4100341796875;H;15;23.7;3053;67.28;3.55;19;321;28.121000289917;29.2649993896484;29.2014026641846;86.58740234375;M;14;22.2;2490;66.46;3.27;18;316;28.2569999694824;29.4009990692139;29.0645351409912;86.7225341796875;H;13;23.9;2035;64.98;2.90;18;318;28.1110000610352;29.4610004425049;29.285177230835;86.857177734375;H;8;23.9;2617;65.42;3.25;20;326;
16;27.6149997711182;29.0559997558594;33.2287826538086;89.8997802734375;M;70;22.5;2464;81.05;6.98;247;323;27.2970008850098;28.488000869751;28.3805255889893;84.16552734375;M;18;22.1;2842;64.22;5.96;21;338;27.6660003662109;28.5510005950928;28.4341220855713;84.651123046875;M;17;21.1;2473;69.72;3.21;19;322;27.6110000610352;28.6079998016357;28.4605655670166;84.6795654296875;M;13;22.1;3202;67.32;3.08;19;327;28.2740001678467;28.6679992675781;28.3695240020752;85.3115234375;M;17;22.5;2346;67.93;4.53;19;327;27.7709999084473;28.4720001220703;28.5421562194824;84.78515625;M;14;21.6;2448;68.80;3.08;17;318;27.5550003051758;28.6040000915527;28.4210777282715;84.580078125;M;14;22.5;3264;69.63;2.84;19;335;27.8980007171631;28.9120006561279;28.7413902282715;85.5513916015625;M;17;22.5;1957;69.88;2.56;19;321;28.6809997558594;29.4179992675781;28.7855224609375;86.884521484375;M;17;22.4;2420;66.11;6.01;25;329;28.0279998779297;29.257999420166;28.7818717956543;86.06787109375;M;13;22.4;3425;65.09;2.79;26;341;28.2000007629395;29.2269992828369;28.9387226104736;86.36572265625;M;12;21.3;2202;66.14;3.63;17;319;28.3330001831055;29.068000793457;28.81103515625;86.2120361328125;M;13;21.8;2322;65.54;5.32;19;328;27.4519996643066;29.0470008850098;28.9150619506836;85.4140625;M;17;21.8;2750;65.65;3.42;18;339;28.3020000457764;29.1709995269775;29.0241928100586;86.4971923828125;M;16;22.4;2378;64.78;2.77;18;316;28.3309993743896;29.5790004730225;29.1343116760254;87.0443115234375;H;15;21.6;3008;67.87;3.36;20;321;28.1049995422363;29.3379993438721;29.2018985748291;86.6448974609375;M;18;22.1;3080;66.02;3.13;18;319;27.8360004425049;29.0130004882813;28.9239482879639;85.77294921875;H;17;21.9;3171;65.09;7.06;21;337;28.3250007629395;29.2600002288818;29.2622890472412;86.8472900390625;M;18;20.2;2635;65.67;3.12;16;313;28.1749992370605;29.1590003967285;29.0015716552734;86.3355712890625;H;16;22;2557;65.70;3.38;18;319;27.806999206543;29.3330001831055;29.6395416259766;86.779541015625;H;11;22.1;3384;63.90;4.45;19;333;
17;45.8619995117188;27.9610004425049;28.1686992645264;101.99169921875;S;5;20.4;2828;79.90;11.38;227;319;27.2900009155273;28.6709995269775;28.4390239715576;84.4000244140625;M;21;20.2;2820;69.35;2.48;19;334;27.6539993286133;28.6009998321533;28.3498592376709;84.6048583984375;M;21;18.9;2632;67.95;2.97;18;321;27.9060001373291;28.7310009002686;28.3606796264648;84.9976806640625;M;17;20.2;2206;66.09;4.69;19;328;27.7889995574951;28.6240005493164;28.2810916900635;84.694091796875;M;20;20.1;2299;66.09;5.82;19;336;27.6840000152588;28.4839992523193;28.6076354980469;84.775634765625;M;18;19.7;2588;68.60;2.84;17;321;27.8330001831055;28.5240001678467;28.4662418365479;84.8232421875;M;17;20.3;2677;69.10;3.21;18;319;27.6590003967285;28.8610000610352;28.6733589172363;85.193359375;M;21;20.7;3063;69.58;2.83;17;323;27.9039993286133;28.9249992370605;28.7485160827637;85.5775146484375;M;20;20.2;2213;64.75;7.71;20;336;27.8589992523193;28.9699993133545;28.8506889343262;85.6796875;M;17;20.5;3059;66.71;3.18;18;325;28.1550006866455;28.9340000152588;28.8233528137207;85.912353515625;M;16;19.3;2820;65.49;2.68;18;319;28.2299995422363;29.4209995269775;28.9709491729736;86.6219482421875;M;17;20;2273;63.68;7.02;20;336;28.1219997406006;29.011999130249;28.7930030822754;85.927001953125;M;20;19.6;2509;66.34;3.17;23;340;28.0139999389648;29.1389999389648;28.9153594970703;86.068359375;M;20;20.6;2632;66.22;2.93;18;319;28.82200050354;29.3680000305176;29.0836811065674;87.273681640625;H;18;19.8;3016;65.55;3.84;22;328;28.4549999237061;29.298999786377;29.203031539917;86.95703125;M;21;20.2;1958;65.86;4.34;19;322;27.451000213623;29.0270004272461;28.7943382263184;85.2723388671875;H;20;20;2267;68.63;2.83;20;335;28.0739994049072;29.2259998321533;29.1191902160645;86.419189453125;M;22;17.8;2688;66.02;3.03;18;314;28.1520004272461;29.1299991607666;29.0212230682373;86.30322265625;H;19;20.1;2692;65.49;3.28;17;319;28.2220001220703;29.4969997406006;29.5075626373291;87.2265625;H;14;20.2;1954;66.83;4.33;18;326;
18;27.4209995269775;27.7490005493164;27.5669384002686;82.7369384765625;S;12;18.4;2759;84.39;5.46;238;324;27.5590000152588;28.6079998016357;28.465202331543;84.6322021484375;M;25;18.4;3297;69.44;3.11;18;331;27.681999206543;28.5;28.442268371582;84.624267578125;M;25;16.7;2447;68.61;2.98;18;322;27.6310005187988;28.7320003509521;28.2836055755615;84.6466064453125;M;20;18.3;2166;66.46;5.09;17;336;27.4249992370605;28.6420001983643;28.4231128692627;84.4901123046875;M;24;18.2;2853;69.90;2.99;18;336;27.9060001373291;28.8840007781982;28.8830947875977;85.673095703125;M;21;17.8;2650;67.85;3.19;18;320;28.117000579834;28.9400005340576;28.5429744720459;85.5999755859375;M;20;18.5;2342;68.47;5.77;20;325;27.8990001678467;28.9109992980957;28.7083110809326;85.518310546875;M;24;18.8;2204;70.15;2.95;17;325;27.4799995422363;28.9160003662109;28.6452598571777;85.041259765625;M;23;18.2;3235;68.11;3.21;20;334;28.0559997558594;29.0550003051758;28.7744979858398;85.885498046875;M;20;18.7;2308;65.85;5.75;18;329;27.8810005187988;28.9580001831055;28.7822151184082;85.6212158203125;M;19;16.9;2769;64.13;3.19;18;320;27.6119995117188;29.0069999694824;28.7927436828613;85.4117431640625;M;20;18.1;2699;66.01;2.96;19;337;27.761999130249;29.0879993438721;28.8671646118164;85.7171630859375;M;24;17.4;2542;66.26;2.94;18;330;28.0410003662109;29.0930004119873;28.9151935577393;86.0491943359375;M;23;18.7;2596;66.30;2.93;18;319;28.3110008239746;29.3320007324219;29.200870513916;86.8438720703125;H;21;17.9;1935;66.79;5.33;19;328;28.3419990539551;29.3920001983643;29.2002048492432;86.9342041015625;M;25;18.3;1992;67.23;2.54;18;315;28.0419998168945;28.82200050354;33.0920562744141;89.9560546875;H;23;18.2;2872;61.40;3.51;18;321;28.1089992523193;29.1019992828369;29.0712280273438;86.2822265625;M;25;15.4;2903;65.73;2.80;18;319;28.0869998931885;28.7870006561279;33.1874008178711;90.0614013671875;H;21;18.3;3470;59.58;3.50;17;321;28.4570007324219;29.4939994812012;29.281909942627;87.23291015625;H;17;18.3;3116;66.22;3.38;16;320;
19;27.0970001220703;28.2900009155273;27.6953964233398;83.0823974609375;S;18;16.3;2832;84.97;5.18;254;324;27.6660003662109;28.5450000762939;28.4500102996826;84.6610107421875;M;29;16.5;2513;69.89;2.85;17;321;27.6669998168945;28.6439990997314;28.398473739624;84.70947265625;M;28;14.6;2517;68.65;2.85;19;321;27.6270008087158;28.5410003662109;28.3525066375732;84.5205078125;M;24;15.9;2449;63.90;5.96;20;344;27.8600006103516;28.6560001373291;28.4822902679443;84.998291015625;M;27;16.3;2574;70.28;2.59;18;319;27.8819999694824;28.8810005187988;28.7166137695313;85.4796142578125;M;25;15.6;2624;67.52;2.94;17;321;27.628999710083;28.5830001831055;28.3204708099365;84.532470703125;M;24;16.1;2295;67.37;4.59;17;333;27.8969993591309;28.9619998931885;28.7291355133057;85.588134765625;M;28;17;2031;69.36;2.82;19;324;27.8390007019043;28.8929996490479;28.7264957427979;85.45849609375;M;27;16.3;2752;68.34;2.94;19;319;27.6270008087158;28.8910007476807;28.7044105529785;85.222412109375;M;24;16.3;2143;64.70;4.43;18;338;27.8780002593994;28.8799991607666;28.730770111084;85.48876953125;M;22;14.5;2680;64.34;3.19;19;321;27.7940006256104;29.0470008850098;28.7736225128174;85.6146240234375;M;24;16.3;2399;67.20;3.18;19;332;27.7430000305176;29.0310001373291;28.7620105743408;85.5360107421875;M;27;15.1;2553;67.28;3.06;16;329;28.007999420166;29.1009998321533;29.0074558258057;86.116455078125;M;27;16.9;2584;66.30;3.04;19;319;28.1749992370605;29.4489994049072;29.2143802642822;86.83837890625;H;24;16;1979;67.71;2.89;19;326;28.2779998779297;29.261999130249;29.1914463043213;86.7314453125;M;29;16.3;2475;65.70;3.14;18;315;46.4370002746582;28.0440006256104;28.1140918731689;102.595092773438;S;5;16.2;3938;61.90;10.21;23;320;28.5349998474121;29.5820007324219;29.427188873291;87.544189453125;M;29;14.1;2127;68.06;3.35;18;310;46.5589981079102;28.2070007324219;28.298698425293;103.064697265625;S;4;16.3;3838;61.55;9.16;23;317;0;0;0;0;HS;0;;0;0.00;0.00;0;;
20;27.3129997253418;27.8819999694824;28.3039016723633;83.4989013671875;S;24;14.3;3331;84.28;5.66;251;338;28.0149993896484;28.6809997558594;28.3643035888672;85.060302734375;M;32;14.7;2298;68.15;6.05;21;330;27.681999206543;28.5349998474121;28.4033622741699;84.620361328125;M;32;12.3;2587;67.62;2.48;19;322;27.3040008544922;28.5909996032715;28.3542671203613;84.249267578125;M;27;14;3474;67.71;2.99;18;340;28.1259994506836;28.488000869751;29.3369274139404;85.950927734375;M;31;14.4;2703;66.14;5.75;20;329;27.6959991455078;28.8619995117188;28.7125091552734;85.2705078125;M;29;13.2;2708;66.09;3.08;18;323;27.3099994659424;28.6730003356934;29.4617023468018;85.4447021484375;M;27;14.2;3126;68.14;2.58;20;336;27.9060001373291;29.181999206543;28.6861705780029;85.774169921875;M;31;15.1;1942;69.03;3.18;18;321;28.6450004577637;29.1119995117188;28.7514228820801;86.5084228515625;M;30;14.4;2276;65.49;6.80;23;329;27.9829998016357;29.0659999847412;28.7814445495605;85.8304443359375;M;27;14.3;3261;66.71;2.82;23;340;28.1420001983643;29.1840000152588;29.045093536377;86.37109375;M;25;13;2535;66.55;3.16;19;321;27.992000579834;29.0349998474121;28.6937026977539;85.720703125;M;28;14.2;2246;100.00;1.08;2;321;27.7600002288818;28.9449996948242;28.9052295684814;85.6102294921875;M;31;13;2595;100.00;1.09;3;322;27.9950008392334;28.9810009002686;28.8830070495605;85.8590087890625;M;31;15;2565;95.70;1.08;19;311;28.3290004730225;29.2940006256104;29.0940399169922;86.717041015625;H;27;13.8;2570;98.92;1.08;12;313;28.246000289917;29.2199993133545;29.2554359436035;86.721435546875;M;32;14.5;2562;68.34;2.83;17;315;27.6119995117188;28.2730007171631;28.1556491851807;84.0406494140625;S;9;14.3;1950;73.27;2.57;19;321;28.6079998016357;29.431999206543;29.4527988433838;87.4927978515625;M;32;12.7;2626;68.28;3.02;18;309;27.75;28.4519996643066;28.3127708435059;84.5147705078125;S;9;14.4;1956;72.64;2.89;20;319;0;0;0;0;HS;0;;0;0.00;0.00;0;;
