Austria GRID
No.;Racenumber;Driver;Team;Car
1;64;Ashton;F1 Generic car;McL
2;21;McL 21 138;F1 Generic car;McL
3;2;McL 2 134;F1 Generic car;McL
4;21;McL 21 120;F1 Generic car;McL
5;22;McL 22 135;F1 Generic car;McL
6;88;McL 88 132;F1 Generic car;McL
7;52;McL 52 125;F1 Generic car;McL
8;9;McL 9 136;F1 Generic car;McL
9;69;McL 69 140;F1 Generic car;McL

;Ashton Drivers lap statistics;;;;;;;;;;;;McL 21 138 Drivers lap statistics;;;;;;;;;;;;McL 2 134 Drivers lap statistics;;;;;;;;;;;;McL 21 120 Drivers lap statistics;;;;;;;;;;;;McL 22 135 Drivers lap statistics;;;;;;;;;;;;McL 88 132 Drivers lap statistics;;;;;;;;;;;;McL 52 125 Drivers lap statistics;;;;;;;;;;;;McL 9 136 Drivers lap statistics;;;;;;;;;;;;McL 69 140 Drivers lap statistics;;;;;;;;;;;;
;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;S1;S2;S3;Laptime;Tyre;Wear;Fuel;ERS deployed;FL;C;KPIs;Top Speed;
1;21.8190002441406;33.6839981079102;22.9927139282227;78.4957122802734;I;2;7.2;3985;73.91;14.73;371;305;22.8120002746582;34.2980003356934;23.2042694091797;80.3142700195313;I;0;;0;39.46;7.27;14;303;24.0659999847412;41.3610000610352;25.1477069854736;90.57470703125;I;0;;0;56.11;7.36;17;309;24.136999130249;37.5699996948242;23.5859851837158;85.2929840087891;I;0;;0;52.76;11.22;39;317;25.0249996185303;35.3279991149902;24.3412837982178;84.6942825317383;I;0;;0;64.60;12.61;35;312;23.9680004119873;35.6370010375977;23.9240818023682;83.5290832519531;I;0;;0;61.23;13.30;28;313;25.4130001068115;34.6599998474121;23.8536510467529;83.9266510009766;I;0;;0;35.38;14.62;25;308;24.6240005493164;36.5;23.8206405639648;84.9446411132813;I;0;;0;37.62;10.11;31;307;0;0;0;0;HS;0;;0;0.00;0.00;0;;
2;17.8840007781982;33.7760009765625;23.1730060577393;74.8330078125;I;4;5.5;3622;75.00;12.13;382;307;17.7859992980957;33.298999786377;22.9529647827148;74.0379638671875;I;0;;0;53.19;5.52;13;314;18.8080005645752;34.867000579834;24.1868152618408;77.86181640625;I;0;;0;62.75;6.32;18;301;21.5450000762939;34.0839996337891;23.6165599822998;79.2455596923828;I;0;;0;59.65;5.14;31;302;19.3990001678467;42.8839988708496;23.6982860565186;85.9812850952148;I;0;;0;67.74;6.66;43;317;19.2859992980957;34.3549995422363;23.5730972290039;77.2140960693359;I;0;;0;66.02;6.64;27;306;18.2019996643066;34.0499992370605;23.0041198730469;75.2561187744141;I;0;;0;50.32;10.21;23;308;30.5020008087158;38.6949996948242;29.4328670501709;98.6298675537109;I;0;;0;26.66;13.64;39;302;0;0;0;0;HS;0;;0;0.00;0.00;0;;
3;17.75;33.3740005493164;23.3017196655273;74.4257202148438;I;6;3.9;3283;75.11;12.67;345;305;17.7880001068115;33.4500007629395;22.8111934661865;74.0491943359375;I;0;;0;50.36;5.03;15;308;18.201000213623;34.2890014648438;23.5830116271973;76.0730133056641;I;0;;0;59.30;5.74;15;305;18.1590003967285;34.1479988098145;23.5451736450195;75.8521728515625;I;0;;0;65.27;3.07;29;302;17.8509998321533;34.6469993591309;23.6894092559814;76.1874084472656;I;0;;0;70.23;8.15;48;312;18.6660003662109;35.4990005493164;23.5932540893555;77.7582550048828;I;0;;0;62.66;9.75;23;297;17.9419994354248;35.1319999694824;23.4376430511475;76.5116424560547;I;0;;0;43.44;14.50;30;308;39.4459991455078;33.931999206543;23.2146987915039;96.5926971435547;I;0;;0;57.46;10.58;30;306;0;0;0;0;HS;0;;0;0.00;0.00;0;;
4;17.7360000610352;33.4650001525879;22.947452545166;74.1484527587891;I;9;2.3;3525;76.51;10.27;353;305;17.7299995422363;33.6069984436035;22.8310928344727;74.1680908203125;I;0;;0;48.93;6.56;15;312;18.2490005493164;34.3950004577637;23.5637168884277;76.2077178955078;I;0;;0;60.73;3.66;23;305;18.1140003204346;33.8979988098145;23.4993534088135;75.5113525390625;I;0;;0;64.51;2.45;27;304;17.8799991607666;33.8610000610352;23.7974529266357;75.5384521484375;I;0;;0;69.88;6.11;45;315;18.6089992523193;34.3269996643066;23.2200374603271;76.1560363769531;I;0;;0;61.52;9.95;27;301;17.8969993591309;46.1319999694824;24.4531021118164;88.4821014404297;I;0;;0;32.61;7.63;28;306;17.9529991149902;33.7410011291504;23.1588745117188;74.8528747558594;I;0;;0;56.11;7.29;41;302;0;0;0;0;HS;0;;0;0.00;0.00;0;;
